"slug","manufacturer","model","family","granularity","completenessPercent","mockFields","sourceUrl"
"alfa-laval-t2-bfg-15-8240125735","Alfa Laval","T2-BFG 15 (8240125735)","PLATE","EXACT_CONFIGURATION","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve","https://shop.alfalaval.com/en-fi/gasketed-plate-heat-exchangers--2244334/t2-bfg-15-plates-iso-7-r-3-4-connection-gasketed-plate-heat-exchanger--3049404-"
"alfa-laval-t5-bfg-10-8240124306","Alfa Laval","T5-BFG 10 (8240124306)","PLATE","EXACT_CONFIGURATION","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://shop.alfalaval.com/de-de/fast-track-gedichtete-plattenwarmetauscher--2244334"
"alfa-laval-t5-bfg-20m-8240171459","Alfa Laval","T5-BFG 20M (8240171459)","PLATE","EXACT_CONFIGURATION","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve","https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t5-bfg-20m-gasketed-plate-heat-exchanger--3080136-"
"alfa-laval-t5-bfg-35m-8240171464","Alfa Laval","T5-BFG 35M (8240171464)","PLATE","EXACT_CONFIGURATION","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve","https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t5-bfg-35m-gasketed-plate-heat-exchanger--3080088-"
"alfa-laval-t5-mfg-50m-8240171452","Alfa Laval","T5-MFG 50M (8240171452)","PLATE","EXACT_CONFIGURATION","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve","https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t5-mfg-50m-gasketed-plate-heat-exchanger--3080133-"
"alfa-laval-t6-pfg-15-8240120945","Alfa Laval","T6-PFG 15 (8240120945)","PLATE","EXACT_CONFIGURATION","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://shop.alfalaval.com/de-de/fast-track-gedichtete-plattenwarmetauscher--2244334"
"alfa-laval-t6-bfg-15m-8240152969","Alfa Laval","T6-BFG 15M (8240152969)","PLATE","EXACT_CONFIGURATION","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve","https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t6-bfg-15m-gasketed-plate-heat-exchanger--3080084-"
"alfa-laval-t6-bfg-70m-8240152981","Alfa Laval","T6-BFG 70M (8240152981)","PLATE","EXACT_CONFIGURATION","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve","https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t6-bfg-70m-gasketed-plate-heat-exchanger--3080052-"
"danfoss-b3-012-40-111b6315","Danfoss","B3-012-40-3.0-H (111B6315)","PLATE","EXACT_CONFIGURATION","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve","https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B6315"
"danfoss-b3-113-78-111b6015","Danfoss","B3-113-78-4.5-HDQ (111B6015)","PLATE","EXACT_CONFIGURATION","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve","https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B6015"
"danfoss-b3-113-110-111b0321","Danfoss","B3-113-110-3.0-HDQ (111B0321)","PLATE","EXACT_CONFIGURATION","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve","https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B0321"
"danfoss-b3-113-90-111b0320","Danfoss","B3-113-90-4.5-HDQ (111B0320)","PLATE","EXACT_CONFIGURATION","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve","https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B0320"
"danfoss-b3-095b-101-111b0103","Danfoss","B3-095B-101 (111B0103)","PLATE","EXACT_CONFIGURATION","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B0103"
"danfoss-b3-027-14-111b1131","Danfoss","B3-027-14 (111B1131)","PLATE","EXACT_CONFIGURATION","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B1131"
"kelvion-nx-25m","Kelvion","NX 25M","PLATE","STANDARD_MODEL","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf"
"kelvion-nx-50m","Kelvion","NX 50M","PLATE","STANDARD_MODEL","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf"
"kelvion-nx-100x","Kelvion","NX 100X","PLATE","STANDARD_MODEL","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf"
"kelvion-nx-150l","Kelvion","NX 150L","PLATE","STANDARD_MODEL","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf"
"kelvion-nx-250l","Kelvion","NX 250L","PLATE","STANDARD_MODEL","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf"
