# manufacturer|family|model|seriesName|slug|granularity|status|summary|applications|materials|surfaceAreaM2|flowMinM3h|flowMaxM3h|powerMinKw|powerMaxKw|temperatureMinC|temperatureMaxC|pressureMinBar|pressureMaxBar|widthMm|heightMm|depthMm|massKg|sourceUrl|sourceTitle|sourceCheckedOn|measurementBasis|facts|pressureCurve
Alfa Laval|PLATE|T2-BFG 15 (8240125735)|Fast Track|alfa-laval-t2-bfg-15-8240125735|EXACT_CONFIGURATION|PUBLISHED|Предварительно сконфигурированный разборный пластинчатый аппарат Fast Track для отопления.|HEATING;HVAC|ALLOY_316;NBR|0.54|0.324|6|6|49|-20|180|0|10|150|390|130|17.31|https://shop.alfalaval.com/en-fi/gasketed-plate-heat-exchangers--2244334/t2-bfg-15-plates-iso-7-r-3-4-connection-gasketed-plate-heat-exchanger--3049404-|Alfa Laval Fast Track T2-BFG 15|2026-07-12|Параметры относятся к артикулу 8240125735 на официальной странице. [DEMO] Fields generated for interface and filter testing: flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve. Not for thermal sizing.|plates=15 пластин;plateThickness=Толщина пластин 0,5 мм;connection=ISO 7 — R 3/4;approval=PED Article 4.3;dataOrigin=OFFICIAL+MOCK;mockFields=flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-20:10,180:7
Alfa Laval|PLATE|T5-BFG 10 (8240124306)|Fast Track|alfa-laval-t5-bfg-10-8240124306|EXACT_CONFIGURATION|PUBLISHED|Компактная преднастроенная конфигурация Fast Track с 10 пластинами.|HEATING;HVAC|ALLOY_316;NBR|1.25|0.75|14|15|112|-20|180|0|10|190.312|456.525|87.5|17.5|https://shop.alfalaval.com/de-de/fast-track-gedichtete-plattenwarmetauscher--2244334|Alfa Laval Fast Track catalogue|2026-07-12|Площадь и артикул приведены для конкретной конфигурации в официальном каталоге. [DEMO] Fields generated for interface and filter testing: flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|plates=10 пластин;plateThickness=Толщина пластин 0,5 мм;connection=ISO 228 — G 2B;dataOrigin=OFFICIAL+MOCK;mockFields=flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-20:10,180:7
Alfa Laval|PLATE|T5-BFG 20M (8240171459)|Fast Track|alfa-laval-t5-bfg-20m-8240171459|EXACT_CONFIGURATION|PUBLISHED|Разборный пластинчатый аппарат Fast Track, 20 пластин Alloy 316.|HEATING;COOLING;HVAC|ALLOY_316;NBR|1.607|0.964|17|19|145|-20|180|0|10|259.08|701.04|170.18|74.81|https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t5-bfg-20m-gasketed-plate-heat-exchanger--3080136-|Alfa Laval T5-BFG-20M|2026-07-12|Площадь переведена из 17,3 ft²; размеры — из дюймов официальной карточки. [DEMO] Fields generated for interface and filter testing: flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve. Not for thermal sizing.|plates=20 пластин;plateThickness=Толщина пластин 0,5 мм;connection=2 — 11.5 NPT;approval=ASME;dataOrigin=OFFICIAL+MOCK;mockFields=flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-20:10,180:7
Alfa Laval|PLATE|T5-BFG 35M (8240171464)|Fast Track|alfa-laval-t5-bfg-35m-8240171464|EXACT_CONFIGURATION|PUBLISHED|Разборный пластинчатый аппарат Fast Track, 35 пластин Alloy 316.|HEATING;COOLING;HVAC|ALLOY_316;NBR|2.936|1.762|30|35|264|-20|180|0|10|259.08|701.04|299.72|83.186|https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t5-bfg-35m-gasketed-plate-heat-exchanger--3080088-|Alfa Laval T5-BFG-35M|2026-07-12|Площадь переведена из 31,6 ft²; размеры — из дюймов официальной карточки. [DEMO] Fields generated for interface and filter testing: flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve. Not for thermal sizing.|plates=35 пластин;plateThickness=Толщина пластин 0,5 мм;connection=2 — 11.5 NPT;approval=ASME;dataOrigin=OFFICIAL+MOCK;mockFields=flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-20:10,180:7
Alfa Laval|PLATE|T5-MFG 50M (8240171452)|Fast Track|alfa-laval-t5-mfg-50m-8240171452|EXACT_CONFIGURATION|PUBLISHED|Разборный пластинчатый аппарат Fast Track, 50 пластин Alloy 316.|HEATING;COOLING;HVAC|ALLOY_316;NBR|4.033|2.42|41|48|363|-20|180|0|10|259.08|701.04|299.72|93.732|https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t5-mfg-50m-gasketed-plate-heat-exchanger--3080133-|Alfa Laval T5-MFG-50M|2026-07-12|Площадь переведена из 43,4 ft²; размеры — из дюймов официальной карточки. [DEMO] Fields generated for interface and filter testing: flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve. Not for thermal sizing.|plates=50 пластин;plateThickness=Толщина пластин 0,5 мм;connection=2 — 11.5 NPT;approval=ASME;dataOrigin=OFFICIAL+MOCK;mockFields=flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-20:10,180:7
Alfa Laval|PLATE|T6-PFG 15 (8240120945)|Fast Track|alfa-laval-t6-pfg-15-8240120945|EXACT_CONFIGURATION|PUBLISHED|Преднастроенный разборный пластинчатый аппарат Fast Track с фланцами DN50.|HEATING;HVAC|ALLOY_316;NBR|2.81|1.686|29|34|253|-20|180|0|16|215.434|534.683|115.58|33.1|https://shop.alfalaval.com/de-de/fast-track-gedichtete-plattenwarmetauscher--2244334|Alfa Laval Fast Track catalogue|2026-07-12|Площадь и артикул приведены для конкретной конфигурации в официальном каталоге. [DEMO] Fields generated for interface and filter testing: flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|plates=15 пластин;connection=EN 1092-1 DN50 PN10;plateThickness=Толщина пластин 0,5 мм;dataOrigin=OFFICIAL+MOCK;mockFields=flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-20:16,180:11
Alfa Laval|PLATE|T6-BFG 15M (8240152969)|Fast Track|alfa-laval-t6-bfg-15m-8240152969|EXACT_CONFIGURATION|PUBLISHED|Разборный пластинчатый аппарат Fast Track, 15 пластин Alloy 316.|HEATING;COOLING;HVAC|ALLOY_316;NBR|1.951|1.171|21|23|176|-20|180|0|16|330.20|878.84|439.42|128.309|https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t6-bfg-15m-gasketed-plate-heat-exchanger--3080084-|Alfa Laval T6-BFG-15M|2026-07-12|Площадь переведена из 21 ft²; размеры — из дюймов официальной карточки. [DEMO] Fields generated for interface and filter testing: flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve. Not for thermal sizing.|plates=15 пластин;plateThickness=Толщина пластин 0,5 мм;connection=ASME B16.5 Class 150 NPS 2;approval=ASME;dataOrigin=OFFICIAL+MOCK;mockFields=flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-20:16,180:11
Alfa Laval|PLATE|T6-BFG 70M (8240152981)|Fast Track|alfa-laval-t6-bfg-70m-8240152981|EXACT_CONFIGURATION|PUBLISHED|Разборный пластинчатый аппарат Fast Track, 70 пластин Alloy 316.|HEATING;COOLING;HVAC|ALLOY_316;NBR|10.201|6.121|103|122|918|-20|180|0|16|330.20|878.84|739.14|174.642|https://shop.alfalaval.com/en-us/gasketed-plate-heat-exchangers--2244334/t6-bfg-70m-gasketed-plate-heat-exchanger--3080052-|Alfa Laval T6-BFG-70M|2026-07-12|Площадь переведена из 109,8 ft²; размеры — из дюймов официальной карточки. [DEMO] Fields generated for interface and filter testing: flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve. Not for thermal sizing.|plates=70 пластин;plateThickness=Толщина пластин 0,5 мм;connection=ASME B16.5 Class 150 NPS 2;approval=ASME;dataOrigin=OFFICIAL+MOCK;mockFields=flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-20:16,180:11
Danfoss|PLATE|B3-012-40-3.0-H (111B6315)|B3|danfoss-b3-012-40-111b6315|EXACT_CONFIGURATION|PUBLISHED|Паяный пластинчатый теплообменник B3-012 с 40 пластинами.|HEATING;COOLING;REFRIGERATION;HVAC|AISI_304;COPPER|1.05|0.63|12|13|94|-196|200|0|30|186.111|443.457|83.9|2.36|https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B6315|Danfoss 111B6315|2026-07-12|Рабочее давление, температуры, материалы и масса относятся к конкретному SKU. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve. Not for thermal sizing.|plates=40 пластин;platePattern=H;connection=Паяные соединения;approval=PED Article 4.3;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-196:30,200:21
Danfoss|PLATE|B3-113-78-4.5-HDQ (111B6015)|B3|danfoss-b3-113-78-111b6015|EXACT_CONFIGURATION|PUBLISHED|Паяный пластинчатый теплообменник B3-113 с 78 пластинами и распределителем.|HEATING;COOLING;REFRIGERATION;HVAC|AISI_316L;COPPER|8.2|4.92|83|98|738|-196|200|0|45|268.86|700.899|212.6|38.8|https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B6015|Danfoss 111B6015|2026-07-12|Данные относятся к конкретному SKU официального Design Center. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve. Not for thermal sizing.|plates=78 пластин;platePattern=H;feature=С распределителем;approval=PED;refrigerants=R134a, R290, R404A, R407C, R410A и другие;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-196:45,200:31
